Product Name,Brand,Ingredients,Health Risk Numerical Data,Health Risk Level,Long-Term Health Effects,Skin Type Numerical Data,Skin Type,Age Group Numerical Data,Age Group,Price,Rupees,Rating,Usage Instructions
Gentle Foaming Cleanser,Brand UUU,"Water, Sodium Cocoyl Isethionate, Glycerin",204,Moderate,Gently cleanses without stripping the skin,25,"Normal, Sensitive",101,Adult,$58 ,4930,4.6,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Clarifying Cleansing Gel,Brand VVV,"Water, Cocamidopropyl Betaine, Sodium Cocoyl Apple Amino Acids",204,Moderate,Removes excess oil and impurities,27,"Oily, Combination",101,Adult,$60 ,5100,4.8,"Massage onto damp skin, rinse thoroughly with water"
Soothing Cream Cleanser,Brand WWW,"Water, Cetearyl Alcohol, Caprylic/Capric Triglyceride",204,Moderate,Calms and soothes sensitive skin,16,"Dry, Sensitive",101,Adult,$62 ,5270,4.7,"Apply to dry or damp skin, massage gently, and rinse thoroughly"
Gentle Exfoliating Cleanser,Brand XXX,"Water, Sodium Lauryl Sulfoacetate, Jojoba Beads",204,Moderate,Exfoliates dead skin cells and promotes cell turnover,6,All,101,Adult,$65 ,5525,4.6,"Massage onto damp skin in circular motions, rinse thoroughly"
Hydrating Micellar Water,Brand YYY,"Water, Glycerin, Poloxamer 184",204,Moderate,Removes makeup and impurities,6,All,101,Adult,$68 ,5780,4.8,"Apply to a cotton pad, gently wipe over face and eyes, no rinsing required"
Brightening Cleansing Foam,Brand ZZZ,"Water, Cocamidopropyl Betaine, Glycerin",204,Moderate,Brightens dull skin and evens tone,6,All,101,Adult,$70 ,5950,4.7,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Balancing Gel Cleanser,Brand AAAA,"Water, Decyl Glucoside, Cocamidopropyl Betaine",204,Moderate,Balances oil production and prevents breakouts,8,"Combination, Oily",101,Adult,$72 ,6120,4.6,"Apply to damp skin, massage gently, and rinse thoroughly"
Calming Cream Cleanser,Brand BBBB,"Water, Cetyl Alcohol, Glycerin",204,Moderate,Calms and soothes irritated skin,16,"Dry, Sensitive",101,Adult,$75 ,6375,4.8,"Apply to dry or damp skin, massage gently, and rinse thoroughly"
Refreshing Foaming Cleanser,Brand CCCC,"Water, Sodium Cocoyl Glutamate, Glycerin",204,Moderate,Refreshes and cleanses without stripping the skin,23,"Normal, Combination",101,Adult,$78 ,6630,4.7,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Refreshing Gel Cleanser,Brand DDD,"Water, Sodium Lauroyl Methyl Isethionate, Glycerin",204,Moderate,Cleanses without stripping the skin,6,All,101,Adult,$8 ,680,4.5,"Apply to damp skin, massage gently, and rinse thoroughly"
Foaming Facial Cleanser,Brand EEE,"Water, Sodium Cocoyl Isethionate, Cocamidopropyl Betaine",204,Moderate,Removes impurities and excess oil,27,"Oily, Combination",101,Adult,$10 ,850,4.7,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Purifying Cleansing Foam,Brand FFF,"Water, Glycerin, Myristic Acid",204,Moderate,Deeply cleanses pores and balances oil production,26,"Oily, Acne-prone",101,Adult,$12 ,1020,4.6,"Massage onto damp skin, rinse thoroughly with water"
Hydrating Cream Cleanser,Brand GGG,"Water, Cetyl Alcohol, Glycerin",204,Moderate,Hydrates and nourishes the skin,16,"Dry, Sensitive",101,Adult,$15 ,1275,4.8,"Apply to dry or damp skin, massage gently, and rinse thoroughly"
Gentle Exfoliating Cleanser,Brand HHH,"Water, Sodium Lauryl Sulfoacetate, Jojoba Beads",204,Moderate,Exfoliates dead skin cells and promotes cell turnover,6,All,101,Adult,$18 ,1530,4.7,"Massage onto damp skin in circular motions, rinse thoroughly"
Brightening Foam Cleanser,Brand III,"Water, Cocamidopropyl Betaine, Glycerin",204,Moderate,Evens skin tone and improves radiance,6,All,101,Adult,$20 ,1700,4.6,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Balancing Gel Cleanser,Brand JJJ,"Water, Decyl Glucoside, Cocamidopropyl Betaine",204,Moderate,Balances oil production and prevents breakouts,8,"Combination, Oily",101,Adult,$22 ,1870,4.8,"Apply to damp skin, massage gently, and rinse thoroughly"
Clarifying Charcoal Cleanser,Brand KKK,"Water, Sodium C14-16 Olefin Sulfonate, Charcoal Powder",204,Moderate,Purifies pores and absorbs excess oil,26,"Oily, Acne-prone",101,Adult,$25 ,2125,4.7,"Massage onto damp skin, rinse thoroughly with water"
Soothing Cream Cleanser,Brand LLL,"Water, Cetearyl Alcohol, Caprylic/Capric Triglyceride",204,Moderate,Calms and soothes sensitive skin,16,"Dry, Sensitive",101,Adult,$28 ,2380,4.6,"Apply to dry or damp skin, massage gently, and rinse thoroughly"
Refreshing Micellar Water,Brand MMM,"Water, Glycerin, Poloxamer 184",204,Moderate,Removes makeup and impurities,6,All,101,Adult,$30 ,2550,4.8,"Apply to a cotton pad, gently wipe over face and eyes, no rinsing required"
Purifying Foaming Cleanser,Brand NNN,"Water, Sodium Cocoyl Isethionate, Glycerin",204,Moderate,Deeply cleanses and detoxifies,6,All,101,Adult,$32 ,2720,4.7,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Calming Gel Cleanser,Brand OOO,"Water, Cocamidopropyl Betaine, Glycerin",204,Moderate,Calms redness and irritation,25,"Normal, Sensitive",101,Adult,$35 ,2975,4.6,"Apply to damp skin, massage gently, and rinse thoroughly"
Hydrating Foaming Cleanser,Brand PPP,"Water, Sodium Cocoyl Glycinate, Glycerin",204,Moderate,Hydrates and refreshes the skin,15,"Dry, Normal",101,Adult,$38 ,3230,4.8,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Energizing Gel Cleanser,Brand QQQ,"Water, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine",204,Moderate,Refreshes and revitalizes tired skin,6,All,101,Adult,$40 ,3400,4.7,"Apply to damp skin, massage gently, and rinse thoroughly"
Nourishing Cream Cleanser,Brand RRR,"Water, Cetearyl Alcohol, Glyceryl Stearate",204,Moderate,Nourishes and replenishes the skin,14,"Dry, Mature",101,Adult,$42 ,3570,4.6,"Apply to dry or damp skin, massage gently, and rinse thoroughly"
Revitalizing Cleansing Oil,Brand SSS,"Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate",204,Moderate,Removes makeup and impurities,6,All,101,Adult,$45 ,3825,4.8,"Apply to dry skin, massage in circular motions, rinse with water"
Detoxifying Foaming Cleanser,Brand TTT,"Water, Sodium Lauroyl Methyl Isethionate, Charcoal Powder",204,Moderate,Purifies pores and removes toxins,27,"Oily, Combination",101,Adult,$48 ,4080,4.7,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Refreshing Gel Cleanser,Brand UUU,"Water, Cocamidopropyl Betaine, Glycerin",201,High,Refreshes and cleanses without drying,6,All,101,Adult,$50 ,4250,4.6,"Apply to damp skin, massage gently, and rinse thoroughly"
Purifying Gel Cleanser,Brand VVV,"Water, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine",201,High,Deeply cleanses pores and controls oil,26,"Oily, Acne-prone",101,Adult,$52 ,4420,4.8,"Apply to damp skin, massage gently, and rinse thoroughly"
Hydrating Cream Cleanser,Brand WWW,"Water, Cetyl Alcohol, Glycerin",201,High,Hydrates and softens the skin,16,"Dry, Sensitive",101,Adult,$55 ,4675,4.7,"Apply to dry or damp skin, massage gently, and rinse thoroughly"
Gentle Foaming Cleanser,Brand XXX,"Water, Sodium Cocoyl Isethionate, Glycerin",201,High,Gently cleanses without stripping the skin,25,"Normal, Sensitive",101,Adult,$58 ,4930,4.6,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Clarifying Cleansing Gel,Brand YYY,"Water, Cocamidopropyl Betaine, Sodium Cocoyl Apple Amino Acids",201,High,Removes excess oil and impurities,27,"Oily, Combination",101,Adult,$60 ,5100,4.8,"Massage onto damp skin, rinse thoroughly with water"
Soothing Cream Cleanser,Brand ZZZ,"Water, Cetyl Alcohol, Glycerin",201,High,Calms and soothes irritated skin,16,"Dry, Sensitive",101,Adult,$62 ,5270,4.7,"Apply to dry or damp skin, massage gently, and rinse thoroughly"
Gentle Exfoliating Cleanser,Brand AAAA,"Water, Sodium Lauryl Sulfoacetate, Jojoba Beads",201,High,Exfoliates dead skin cells and promotes cell turnover,6,All,101,Adult,$65 ,5525,4.6,"Massage onto damp skin in circular motions, rinse thoroughly"
Hydrating Micellar Water,Brand BBBB,"Water, Glycerin, Poloxamer 184",201,High,Removes makeup and impurities,6,All,101,Adult,$68 ,5780,4.8,"Apply to a cotton pad, gently wipe over face and eyes, no rinsing required"
Brightening Cleansing Foam,Brand CCCC,"Water, Cocamidopropyl Betaine, Glycerin",201,High,Brightens dull skin and evens tone,6,All,101,Adult,$70 ,5950,4.7,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Balancing Gel Cleanser,Brand DDDD,"Water, Decyl Glucoside, Cocamidopropyl Betaine",201,High,Balances oil production and prevents breakouts,8,"Combination, Oily",101,Adult,$72 ,6120,4.6,"Apply to damp skin, massage gently, and rinse thoroughly"
Calming Cream Cleanser,Brand EEEE,"Water, Cetyl Alcohol, Glycerin",201,High,Calms and soothes sensitive skin,16,"Dry, Sensitive",101,Adult,$75 ,6375,4.8,"Apply to dry or damp skin, massage gently, and rinse thoroughly"
Refreshing Foaming Cleanser,Brand FFFF,"Water, Sodium Cocoyl Glutamate, Glycerin",201,High,Refreshes and cleanses without stripping the skin,23,"Normal, Combination",101,Adult,$78 ,6630,4.7,"Dispense a small amount onto hands, lather, and massage onto wet skin"
Hydrating Facial Toner,Brand AAA,"Water, Glycerin, Butylene Glycol",201,High,Hydrates and balances pH levels,6,All,101,Adult,$12 ,1020,4.5,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Clarifying Toner,Brand BBB,"Water, Salicylic Acid, Witch Hazel Extract",201,High,Clears pores and reduces breakouts,26,"Oily, Acne-prone",101,Adult,$15 ,1275,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Tonic,Brand CCC,"Water, Hamamelis Virginiana (Witch Hazel) Water, Propanediol",201,High,Balances oil production and soothes,5,Combination,101,Adult,$18 ,1530,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Soothing Skin Tonic,Brand DDD,"Water, Aloe Barbadensis Leaf Juice, Chamomilla Recutita (Matricaria) Flower Extract",201,High,Calms redness and irritation,2,Sensitive,101,Adult,$20 ,1700,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Refreshing Toner,Brand EEE,"Water, Alcohol, Menthol",204,Moderate,Refreshes and tightens pores,24,"Normal, Oily",101,Adult,$22 ,1870,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Revitalizing Toner,Brand FFF,"Water, Glycolic Acid, Sodium Hyaluronate",204,Moderate,Brightens and hydrates,6,All,101,Adult,$25 ,2125,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Illuminating Essence,Brand GGG,"Water, Niacinamide, Sodium Ascorbyl Phosphate",204,Moderate,Evens skin tone and boosts radiance,6,All,101,Adult,$28 ,2380,4.8,"Apply to cleansed skin with hands or a cotton pad, avoiding eye area"
Calming Facial Mist,Brand HHH,"Water, Lavandula Angustifolia (Lavender) Oil, Glycerin",204,Moderate,Calms and soothes irritated skin,16,"Dry, Sensitive",101,Adult,$30 ,2550,4.7,"Spritz onto face as needed, hold bottle 8-10 inches away from face"
Hydrating Rose Toner,Brand III,"Rosa Damascena Flower Water, Glycerin, Panthenol",204,Moderate,Hydrates and soothes,15,"Dry, Normal",101,Adult,$32 ,2720,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Antioxidant Toning Mist,Brand JJJ,"Water, Camellia Sinensis (Green Tea) Leaf Extract, Vitamin C",204,Moderate,Protects against free radical damage,6,All,101,Adult,$35 ,2975,4.8,"Spritz onto face as needed, hold bottle 8-10 inches away from face"
Pore-Refining Toner,Brand KKK,"Water, Salix Alba (Willow) Bark Extract, Witch Hazel Extract",204,Moderate,Minimizes the appearance of pores,27,"Oily, Combination",101,Adult,$38 ,3230,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Soothing Chamomile Toner,Brand LLL,"Water, Anthemis Nobilis (Chamomile) Flower Extract, Glycerin",204,Moderate,Calms and comforts sensitive skin,2,Sensitive,101,Adult,$40 ,3400,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Herbal Toner,Brand MMM,"Water, Echinacea Purpurea Extract, Hamamelis Virginiana (Witch Hazel) Extract",204,Moderate,Balances oil production and purifies,8,"Combination, Oily",101,Adult,$42 ,3570,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Moisture Boost Toner,Brand NNN,"Water, Sodium Hyaluronate, Butylene Glycol",204,Moderate,Hydrates and plumps,14,"Dry, Mature",101,Adult,$45 ,3825,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Vitalizing Toning Essence,Brand OOO,"Water, Adenosine, Panax Ginseng Root Extract",204,Moderate,Energizes and revitalizes,6,All,101,Adult,$48 ,4080,4.6,"Apply to cleansed skin with hands or a cotton pad, avoiding eye area"
Mattifying Clarifying Toner,Brand PPP,"Water, Lactic Acid, Salicylic Acid",204,Moderate,Controls oil and prevents breakouts,26,"Oily, Acne-prone",101,Adult,$50 ,4250,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Calming Rosewater Toner,Brand QQQ,"Rosa Damascena Flower Water, Aloe Barbadensis Leaf Juice, Chamomilla Recutita (Matricaria) Flower Extract",204,Moderate,Soothes and balances sensitive skin,2,Sensitive,101,Adult,$52 ,4420,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Refreshing Cucumber Toner,Brand RRR,"Water, Cucumis Sativus (Cucumber) Fruit Extract, Witch Hazel Extract",204,Moderate,Refreshes and soothes,6,All,101,Adult,$55 ,4675,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Hydrating Coconut Toner,Brand SSS,"Water, Cocos Nucifera (Coconut) Fruit Extract, Glycerin",204,Moderate,Hydrates and nourishes,15,"Dry, Normal",101,Adult,$58 ,4930,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Seaweed Toner,Brand TTT,"Water, Ascophyllum Nodosum (Seaweed) Extract, Hamamelis Virginiana (Witch Hazel) Extract",204,Moderate,Balances oil production and purifies,8,"Combination, Oily",101,Adult,$60 ,5100,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Rosehip Hydrating Toner,Brand UUU,"Rosa Canina Fruit Extract, Hamamelis Virginiana (Witch Hazel) Water, Glycerin",204,Moderate,Hydrates and improves skin elasticity,14,"Dry, Mature",101,Adult,$62 ,5270,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Illuminating Pearl Toner,Brand VVV,"Water, Pearl Powder, Niacinamide",204,Moderate,Brightens and evens skin tone,6,All,101,Adult,$65 ,5525,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Calming Lavender Toner,Brand WWW,"Water, Lavandula Angustifolia (Lavender) Flower Water, Glycerin",204,Moderate,Calms and soothes irritated skin,2,Sensitive,101,Adult,$68 ,5780,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Tea Tree Toner,Brand XXX,"Water, Melaleuca Alternifolia (Tea Tree) Leaf Water, Hamamelis Virginiana (Witch Hazel) Water",204,Moderate,Balances oil production and prevents breakouts,26,"Oily, Acne-prone",101,Adult,$70 ,5950,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Radiant Glow Toner,Brand YYY,"Water, Glycolic Acid, Lactic Acid",204,Moderate,Exfoliates and brightens,6,All,101,Adult,$72 ,6120,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Antioxidant Green Tea Toner,Brand ZZZ,"Water, Camellia Sinensis (Green Tea) Leaf Extract, Hyaluronic Acid",204,Moderate,Protects against environmental damage,6,All,101,Adult,$75 ,6375,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Soothing Calendula Toner,Brand AAAA,"Water, Calendula Officinalis Flower Extract, Glycerin",204,Moderate,Soothes and calms sensitive skin,2,Sensitive,101,Adult,$78 ,6630,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Rejuvenating Rose Toner,Brand BBBB,"Rosa Damascena Flower Water, Aloe Barbadensis Leaf Juice, Witch Hazel Extract",204,Moderate,Hydrates and revitalizes,15,"Dry, Normal",101,Adult,$80 ,6800,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Charcoal Toner,Brand CCCC,"Water, Charcoal Powder, Hamamelis Virginiana (Witch Hazel) Water",204,Moderate,Detoxifies and balances oily skin,27,"Oily, Combination",101,Adult,$82 ,6970,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Soothing Cucumber Toner,Brand DDDD,"Water, Cucumis Sativus (Cucumber) Fruit Extract, Aloe Barbadensis Leaf Juice",204,Moderate,Calms and hydrates,2,Sensitive,101,Adult,$85 ,7225,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Illuminating Vitamin C Toner,Brand EEEE,"Water, Ascorbic Acid, Hamamelis Virginiana (Witch Hazel) Water",204,Moderate,Brightens and evens skin tone,6,All,101,Adult,$88 ,7480,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Refreshing Mint Toner,Brand FFFF,"Water, Mentha Piperita (Peppermint) Leaf Extract, Glycerin",204,Moderate,Refreshes and revitalizes,6,All,101,Adult,$90 ,7650,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Lavender Toner,Brand GGGG,"Water, Lavandula Angustifolia (Lavender) Flower Water, Witch Hazel Extract",204,Moderate,Balances oil production and soothes,27,"Oily, Combination",101,Adult,$92 ,7820,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Hydrating Aloe Toner,Brand HHHH,"Water, Aloe Barbadensis Leaf Juice, Glycerin",204,Moderate,Hydrates and soothes,15,"Dry, Normal",101,Adult,$95 ,8075,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Nourishing Coconut Toner,Brand IIII,"Water, Cocos Nucifera (Coconut) Fruit Extract, Glycerin",202,Low,Nourishes and replenishes,14,"Dry, Mature",101,Adult,$98 ,8330,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Clarifying Tea Tree Toner,Brand JJJJ,"Water, Melaleuca Alternifolia (Tea Tree) Leaf Water, Hamamelis Virginiana (Witch Hazel) Water",202,Low,Clarifies and controls acne,26,"Oily, Acne-prone",101,Adult,$100 ,8500,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Soothing Chamomile Toner,Brand KKKK,"Water, Anthemis Nobilis (Chamomile) Flower Extract, Glycerin",202,Low,Calms and comforts sensitive skin,2,Sensitive,101,Adult,$102 ,8670,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Seaweed Toner,Brand LLLL,"Water, Ascophyllum Nodosum (Seaweed) Extract, Glycerin",202,Low,Balances oil production and purifies,8,"Combination, Oily",101,Adult,$105 ,8925,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Rosehip Hydrating Toner,Brand MMMM,"Rosa Canina Fruit Extract, Hamamelis Virginiana (Witch Hazel) Water, Glycerin",202,Low,Hydrates and improves skin elasticity,14,"Dry, Mature",101,Adult,$108 ,9180,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Refreshing Green Tea Toner,Brand NNNN,"Water, Camellia Sinensis (Green Tea) Leaf Extract, Glycerin",202,Low,Refreshes and soothes,6,All,101,Adult,$110 ,9350,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Calming Calendula Toner,Brand OOOO,"Water, Calendula Officinalis Flower Extract, Glycerin",202,Low,Soothes and calms sensitive skin,2,Sensitive,101,Adult,$112 ,9520,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Rejuvenating Rose Toner,Brand PPPP,"Rosa Damascena Flower Water, Aloe Barbadensis Leaf Juice, Witch Hazel Extract",202,Low,Hydrates and revitalizes,15,"Dry, Normal",101,Adult,$115 ,9775,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Charcoal Toner,Brand QQQQ,"Water, Charcoal Powder, Hamamelis Virginiana (Witch Hazel) Water",202,Low,Detoxifies and balances oily skin,27,"Oily, Combination",101,Adult,$118 ,10030,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Hydrating Cucumber Toner,Brand RRRR,"Water, Cucumis Sativus (Cucumber) Fruit Extract, Aloe Barbadensis Leaf Juice",202,Low,Hydrates and refreshes,6,All,101,Adult,$120 ,10200,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Illuminating Vitamin C Toner,Brand SSSS,"Water, Ascorbic Acid, Hamamelis Virginiana (Witch Hazel) Water",202,Low,Brightens and evens skin tone,6,All,101,Adult,$122 ,10370,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Soothing Lavender Toner,Brand TTTT,"Water, Lavandula Angustifolia (Lavender) Flower Water, Glycerin",202,Low,Calms and soothes irritated skin,2,Sensitive,101,Adult,$125 ,10625,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Refreshing Mint Toner,Brand UUUU,"Water, Mentha Piperita (Peppermint) Leaf Extract, Glycerin",202,Low,Refreshes and revitalizes,6,All,101,Adult,$128 ,10880,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Clarifying Tea Tree Toner,Brand VVVV,"Water, Melaleuca Alternifolia (Tea Tree) Leaf Water, Hamamelis Virginiana (Witch Hazel) Water",202,Low,Clarifies and controls acne,26,"Oily, Acne-prone",101,Adult,$130 ,11050,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Seaweed Toner,Brand WWWW,"Water, Ascophyllum Nodosum (Seaweed) Extract, Glycerin",202,Low,Balances oil production and purifies,8,"Combination, Oily",101,Adult,$132 ,11220,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Rosehip Hydrating Toner,Brand XXXX,"Rosa Canina Fruit Extract, Hamamelis Virginiana (Witch Hazel) Water, Glycerin",202,Low,Hydrates and improves skin elasticity,14,"Dry, Mature",101,Adult,$135 ,11475,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Refreshing Green Tea Toner,Brand YYYY,"Water, Camellia Sinensis (Green Tea) Leaf Extract, Glycerin",202,Low,Refreshes and soothes,6,All,101,Adult,$138 ,11730,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Calming Calendula Toner,Brand ZZZZ,"Water, Calendula Officinalis Flower Extract, Glycerin",202,Low,Soothes and calms sensitive skin,2,Sensitive,101,Adult,$140 ,11900,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Rejuvenating Rose Toner,Brand AAAA,"Rosa Damascena Flower Water, Aloe Barbadensis Leaf Juice, Witch Hazel Extract",202,Low,Hydrates and revitalizes,15,"Dry, Normal",101,Adult,$142 ,12070,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Balancing Charcoal Toner,Brand BBBB,"Water, Charcoal Powder, Hamamelis Virginiana (Witch Hazel) Water",202,Low,Detoxifies and balances oily skin,27,"Oily, Combination",101,Adult,$145 ,12325,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Hydrating Cucumber Toner,Brand CCCC,"Water, Cucumis Sativus (Cucumber) Fruit Extract, Aloe Barbadensis Leaf Juice",202,Low,Hydrates and refreshes,6,All,101,Adult,$148 ,12580,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Illuminating Vitamin C Toner,Brand DDDD,"Water, Ascorbic Acid, Hamamelis Virginiana (Witch Hazel) Water",202,Low,Brightens and evens skin tone,6,All,101,Adult,$150 ,12750,4.7,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Soothing Lavender Toner,Brand EEEE,"Water, Lavandula Angustifolia (Lavender) Flower Water, Glycerin",202,Low,Calms and soothes irritated skin,2,Sensitive,101,Adult,$152 ,12920,4.6,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Refreshing Mint Toner,Brand FFFF,"Water, Mentha Piperita (Peppermint) Leaf Extract, Glycerin",202,Low,Refreshes and revitalizes,6,All,101,Adult,$155 ,13175,4.8,"Apply to cleansed skin with a cotton pad, avoiding eye area"
Exfoliating Scrub,Brand AAA,"Water, Glycerin, Jojoba Esters",202,Low,Removes dead skin cells and impurities,6,All,101,Adult,$12 ,1020,4.5,"Apply to damp skin, massage in circular motions, rinse thoroughly"
Brightening Scrub,Brand BBB,"Water, Glycolic Acid, Microcrystalline Cellulose",202,Low,Evens skin tone and boosts radiance,6,All,101,Adult,$15 ,1275,4.7,"Massage onto damp skin, rinse thoroughly"
Deep Cleansing Scrub,Brand CCC,"Water, Sodium Laureth Sulfate, Acrylates Copolymer",202,Low,Removes excess oil and impurities,26,"Oily, Acne-prone",101,Adult,$18 ,1530,4.6,"Apply to wet skin, massage gently, rinse thoroughly"
Hydrating Scrub,Brand DDD,"Water, Cetearyl Alcohol, Glyceryl Stearate",202,Low,Hydrates and nourishes,15,"Dry, Normal",101,Adult,$20 ,1700,4.8,"Massage onto damp skin, rinse thoroughly"
Soothing Scrub,Brand EEE,"Water, Aloe Barbadensis Leaf Juice, Chamomilla Recutita (Matricaria) Flower Extract",202,Low,Calms and soothes sensitive skin,2,Sensitive,101,Adult,$22 ,1870,4.7,"Apply to damp skin, massage in circular motions, rinse thoroughly"
Rejuvenating Scrub,Brand FFF,"Water, Juglans Regia (Walnut) Shell Powder, Cetyl Alcohol",204,Moderate,Exfoliates and promotes cell turnover,6,All,101,Adult,$25 ,2125,4.6,"Massage onto damp skin, rinse thoroughly"
Purifying Scrub,Brand GGG,"Water, Sodium Cocoyl Isethionate, Cocamidopropyl Betaine",202,Low,Cleanses and purifies,8,"Combination, Oily",101,Adult,$28 ,2380,4.8,"Apply to wet skin, massage gently, rinse thoroughly"
Clarifying Scrub,Brand HHH,"Water, Salicylic Acid, Sodium Lauryl Sulfate",202,Low,Clears pores and prevents breakouts,26,"Oily, Acne-prone",101,Adult,$30 ,2550,4.7,"Massage onto damp skin, rinse thoroughly"
Gentle Exfoliating Scrub,Brand III,"Water, Sodium Cocoyl Isethionate, Glycerin",202,Low,Exfoliates without stripping the skin,6,All,101,Adult,$32 ,2720,4.6,"Massage onto damp skin in circular motions, rinse thoroughly"
Revitalizing Scrub,Brand JJJ,"Water, Pumice, Sodium Cocoyl Isethionate",202,Low,Revitalizes and refreshes,6,All,101,Adult,$35 ,2975,4.8,"Massage onto damp skin, rinse thoroughly"
Balancing Scrub,Brand KKK,"Water, Sodium C14-16 Olefin Sulfonate, Glycerin",202,Low,Balances oil production,27,"Oily, Combination",101,Adult,$38 ,3230,4.7,"Massage onto damp skin, rinse thoroughly"
Calming Scrub,Brand LLL,"Water, Cetearyl Alcohol, Glycerin",202,Low,Calms and soothes irritated skin,16,"Dry, Sensitive",101,Adult,$40 ,3400,4.6,"Massage onto damp skin, rinse thoroughly"
Energizing Scrub,Brand MMM,"Water, Sodium Cocoyl Isethionate, Cocamidopropyl Betaine",202,Low,Energizes and invigorates,6,All,101,Adult,$42 ,3570,4.8,"Massage onto damp skin, rinse thoroughly"
Illuminating Scrub,Brand NNN,"Water, Microcrystalline Cellulose, Cocamidopropyl Betaine",202,Low,Brightens and evens skin tone,6,All,101,Adult,$45 ,3825,4.7,"Massage onto damp skin in circular motions, rinse thoroughly"
Detoxifying Scrub,Brand OOO,"Water, Kaolin, Sodium Lauryl Sulfate",202,Low,Detoxifies and purifies,6,All,101,Adult,$48 ,4080,4.6,"Apply to damp skin, massage gently, rinse thoroughly"
